id,ticker,timestamp,caption,sentiment,virality,image_path,price_change,price_up,volume,delta_time,price_timestamp
3597,AAPL,2023-01-01 02:45:00,AAPL sell... 💸,negative,141.30249483430728,meme_images/meme_3597.png,-3.251920241674238,0,323925.90423685504,0 days 00:10:00,2023-01-01 02:55:00
4513,AAPL,2023-01-02 07:02:00,AAPL crash... 😢,negative,82.25745206189924,meme_images/meme_4513.png,-1.050941265639936,0,168091.08900408278,0 days 00:15:00,2023-01-02 07:17:00
4547,AAPL,2023-01-02 10:34:00,AAPL up! 💎🙌,positive,39.11589661913547,meme_images/meme_4547.png,0.9388917993546658,1,173471.45954159423,0 days 00:10:00,2023-01-02 10:44:00
5246,AAPL,2023-01-03 05:20:00,AAPL gain! 🚀,positive,1173.8943671878549,meme_images/meme_5246.png,1.0035738970517307,1,7145.614629635693,0 days 00:20:00,2023-01-03 05:40:00
4253,AAPL,2023-01-03 13:04:00,AAPL hold. 🧐,neutral,2.687378347865839,meme_images/meme_4253.png,-2.713407455567947,0,94644.8135931108,0 days 00:28:00,2023-01-03 13:32:00
674,AAPL,2023-01-03 14:09:00,AAPL down... 📉,negative,708.343914064778,meme_images/meme_674.png,-3.224761481900437,0,196069.56065894867,0 days 00:14:00,2023-01-03 14:23:00
5816,AAPL,2023-01-03 19:09:00,AAPL crash... 😢,negative,6.76081816176771,meme_images/meme_5816.png,-2.0463932425187097,0,121707.3719506312,0 days 00:16:00,2023-01-03 19:25:00
5655,AAPL,2023-01-03 19:27:00,AAPL news. ⌛,neutral,36.25094261039328,meme_images/meme_5655.png,-1.781939495451426,0,26901.00194481345,0 days 00:13:00,2023-01-03 19:40:00
4291,AAPL,2023-01-03 21:02:00,AAPL bear... 📉,negative,21.8109757952006,meme_images/meme_4291.png,-0.8658215799366793,0,72413.36951464607,0 days 00:23:00,2023-01-03 21:25:00
9197,AAPL,2023-01-04 02:35:00,AAPL bull! 💎🙌,positive,261.50862159924253,meme_images/meme_9197.png,0.3752438052510325,1,18863.686890350906,0 days 00:06:00,2023-01-04 02:41:00
9449,AAPL,2023-01-04 05:00:00,AAPL dump... 😢,negative,270.15448826216226,meme_images/meme_9449.png,-3.470207202433762,0,116276.56688168392,0 days 00:16:00,2023-01-04 05:16:00
1976,AAPL,2023-01-04 14:30:00,AAPL watch. 🧐,neutral,14.251953214385807,meme_images/meme_1976.png,0.7418468130760393,1,63406.790052657365,0 days 00:26:00,2023-01-04 14:56:00
4771,AAPL,2023-01-04 14:50:00,AAPL sell... 😢,negative,250.36551338360007,meme_images/meme_4771.png,-2.887702746007523,0,17132.6660953005,0 days 00:20:00,2023-01-04 15:10:00
2029,AAPL,2023-01-04 15:42:00,AAPL down... 💸,negative,206.4387019179042,meme_images/meme_2029.png,-3.716817123338652,0,105850.59372981628,0 days 00:07:00,2023-01-04 15:49:00
5335,AAPL,2023-01-05 18:17:00,AAPL waiting. 📊,neutral,1376.9164772415993,meme_images/meme_5335.png,0.3261005675237425,1,36003.84066363016,0 days 00:11:00,2023-01-05 18:28:00
8681,AAPL,2023-01-06 12:08:00,AAPL update. 📊,neutral,169.43912857963372,meme_images/meme_8681.png,-0.2539602080500592,0,7533.65614195896,0 days 00:26:00,2023-01-06 12:34:00
6410,AAPL,2023-01-07 11:51:00,AAPL buy! 💎🙌,positive,265.25308820768896,meme_images/meme_6410.png,2.792105066978908,1,55095.90310479061,0 days 00:06:00,2023-01-07 11:57:00
