id,ticker,timestamp,price_timestamp,price_up,multi_modal_prob,prediction,actual,signal
3597,AAPL,2023-01-01 02:45:00,2023-01-01 02:59:00,0,0.06388571,0,0,Sell
4513,AAPL,2023-01-02 07:02:00,2023-01-02 07:22:00,0,0.07230983,0,0,Sell
4547,AAPL,2023-01-02 10:34:00,2023-01-02 10:57:00,1,0.8905639,1,1,Buy
5246,AAPL,2023-01-03 05:20:00,2023-01-03 05:43:00,1,0.91383433,1,1,Buy
4253,AAPL,2023-01-03 13:04:00,2023-01-03 13:15:00,0,0.413041,0,0,Hold
674,AAPL,2023-01-03 14:09:00,2023-01-03 14:37:00,0,0.053466495,0,0,Sell
5816,AAPL,2023-01-03 19:09:00,2023-01-03 19:22:00,0,0.062456176,0,0,Sell
5655,AAPL,2023-01-03 19:27:00,2023-01-03 19:47:00,0,0.5012655,1,0,Hold
4291,AAPL,2023-01-03 21:02:00,2023-01-03 21:30:00,0,0.04833857,0,0,Sell
9197,AAPL,2023-01-04 02:35:00,2023-01-04 02:47:00,1,0.8831895,1,1,Buy
9449,AAPL,2023-01-04 05:00:00,2023-01-04 05:19:00,0,0.060739156,0,0,Sell
1976,AAPL,2023-01-04 14:30:00,2023-01-04 14:36:00,1,0.481829,0,1,Hold
4771,AAPL,2023-01-04 14:50:00,2023-01-04 15:01:00,0,0.061001983,0,0,Sell
2029,AAPL,2023-01-04 15:42:00,2023-01-04 15:51:00,0,0.06774762,0,0,Sell
5335,AAPL,2023-01-05 18:17:00,2023-01-05 18:47:00,1,0.6175346,1,1,Buy
8681,AAPL,2023-01-06 12:08:00,2023-01-06 12:14:00,0,0.37269026,0,0,Sell
6410,AAPL,2023-01-07 11:51:00,2023-01-07 12:11:00,1,0.91671133,1,1,Buy
9923,AAPL,2023-01-07 13:32:00,2023-01-07 13:57:00,0,0.060541026,0,0,Sell
6136,AAPL,2023-01-08 00:54:00,2023-01-08 01:10:00,0,0.094706684,0,0,Sell
6415,AAPL,2023-01-08 20:40:00,2023-01-08 21:04:00,0,0.05393576,0,0,Sell
7400,AAPL,2023-01-09 06:46:00,2023-01-09 06:56:00,0,0.3861185,0,0,Sell
3866,AAPL,2023-01-09 08:20:00,2023-01-09 08:31:00,0,0.06398274,0,0,Sell
978,AAPL,2023-01-10 05:15:00,2023-01-10 05:33:00,0,0.061420634,0,0,Sell
2026,AAPL,2023-01-10 10:03:00,2023-01-10 10:17:00,1,0.8525985,1,1,Buy
9728,AAPL,2023-01-10 11:05:00,2023-01-10 11:29:00,0,0.8854107,1,0,Buy
6664,AAPL,2023-01-11 01:13:00,2023-01-11 01:38:00,0,0.05844424,0,0,Sell
7546,AAPL,2023-01-11 05:22:00,2023-01-11 05:31:00,1,0.8974645,1,1,Buy
9615,AAPL,2023-01-11 07:45:00,2023-01-11 08:13:00,1,0.3819702,0,1,Sell
9487,AAPL,2023-01-11 16:05:00,2023-01-11 16:20:00,0,0.8807843,1,0,Buy
2799,AAPL,2023-01-12 21:18:00,2023-01-12 21:35:00,1,0.94228166,1,1,Buy
6050,AAPL,2023-01-13 00:03:00,2023-01-13 00:32:00,0,0.09972111,0,0,Sell
8882,AAPL,2023-01-14 01:29:00,2023-01-14 01:37:00,1,0.9307871,1,1,Buy
7252,AAPL,2023-01-14 04:58:00,2023-01-14 05:07:00,1,0.9250276,1,1,Buy
5998,AAPL,2023-01-14 06:54:00,2023-01-14 07:19:00,1,0.50841147,1,1,Hold
7665,AAPL,2023-01-15 14:31:00,2023-01-15 14:44:00,1,0.95085216,1,1,Buy
4017,AAPL,2023-01-16 06:10:00,2023-01-16 06:39:00,0,0.5559448,1,0,Hold
2794,AAPL,2023-01-17 06:41:00,2023-01-17 07:03:00,1,0.70105606,1,1,Buy
825,AAPL,2023-01-17 09:21:00,2023-01-17 09:43:00,1,0.41467217,0,1,Hold
4371,AAPL,2023-01-18 06:28:00,2023-01-18 06:58:00,0,0.14806528,0,0,Sell
548,AAPL,2023-01-18 13:53:00,2023-01-18 14:00:00,1,0.9422839,1,1,Buy
2098,AAPL,2023-01-18 15:24:00,2023-01-18 15:44:00,1,0.92941254,1,1,Buy
8774,AAPL,2023-01-19 08:57:00,2023-01-19 09:17:00,1,0.93141514,1,1,Buy
8828,AAPL,2023-01-19 19:45:00,2023-01-19 20:04:00,1,0.9622392,1,1,Buy
9722,AAPL,2023-01-20 12:26:00,2023-01-20 12:47:00,1,0.5827461,1,1,Hold
2109,AAPL,2023-01-20 12:40:00,2023-01-20 13:00:00,1,0.94818705,1,1,Buy
1353,AAPL,2023-01-21 18:22:00,2023-01-21 18:48:00,1,0.4619853,0,1,Hold
7243,AAPL,2023-01-21 23:08:00,2023-01-21 23:23:00,0,0.07369568,0,0,Sell
4014,AAPL,2023-01-22 05:17:00,2023-01-22 05:27:00,0,0.43466875,0,0,Hold
1658,AAPL,2023-01-22 21:46:00,2023-01-22 21:58:00,0,0.2011357,0,0,Sell
1487,AAPL,2023-01-23 02:29:00,2023-01-23 02:49:00,0,0.056220226,0,0,Sell
6707,AAPL,2023-01-23 11:28:00,2023-01-23 11:47:00,1,0.21413665,0,1,Sell
5168,AAPL,2023-01-23 13:50:00,2023-01-23 13:59:00,1,0.6185367,1,1,Buy
3360,AAPL,2023-01-24 00:18:00,2023-01-24 00:38:00,0,0.23788145,0,0,Sell
4850,AAPL,2023-01-24 12:49:00,2023-01-24 13:11:00,0,0.685161,1,0,Buy
4827,AAPL,2023-01-25 02:50:00,2023-01-25 03:15:00,1,0.4535535,0,1,Hold
544,AAPL,2023-01-26 05:33:00,2023-01-26 05:47:00,1,0.07972649,0,1,Sell
2811,AAPL,2023-01-27 00:27:00,2023-01-27 00:48:00,0,0.102647886,0,0,Sell
852,AAPL,2023-01-27 03:02:00,2023-01-27 03:15:00,0,0.06671918,0,0,Sell
8516,AAPL,2023-01-27 12:33:00,2023-01-27 13:03:00,1,0.06860261,0,1,Sell
3665,AAPL,2023-01-27 12:42:00,2023-01-27 12:49:00,0,0.5179628,1,0,Hold
1886,AAPL,2023-01-27 16:57:00,2023-01-27 17:22:00,0,0.04655085,0,0,Sell
7517,AAPL,2023-01-27 18:16:00,2023-01-27 18:46:00,0,0.067419656,0,0,Sell
8103,AAPL,2023-01-27 23:05:00,2023-01-27 23:27:00,1,0.92830646,1,1,Buy
2828,AAPL,2023-01-28 08:48:00,2023-01-28 09:11:00,1,0.92875004,1,1,Buy
8915,AAPL,2023-01-28 23:57:00,2023-01-29 00:13:00,0,0.553909,1,0,Hold
3004,AAPL,2023-01-29 04:48:00,2023-01-29 05:07:00,1,0.9232427,1,1,Buy
926,AAPL,2023-01-29 13:07:00,2023-01-29 13:22:00,1,0.95109,1,1,Buy
6793,AAPL,2023-01-29 14:58:00,2023-01-29 15:28:00,0,0.09560672,0,0,Sell
31,AAPL,2023-01-30 01:21:00,2023-01-30 01:39:00,0,0.40958688,0,0,Hold
3011,AAPL,2023-01-30 01:40:00,2023-01-30 01:49:00,1,0.8966967,1,1,Buy
4764,AAPL,2023-01-30 06:45:00,2023-01-30 07:09:00,1,0.5382311,1,1,Hold
567,AAPL,2023-01-30 11:12:00,2023-01-30 11:20:00,0,0.07316854,0,0,Sell
811,AAPL,2023-01-30 20:14:00,2023-01-30 20:19:00,1,0.49685526,0,1,Hold
9261,AAPL,2023-01-31 07:14:00,2023-01-31 07:34:00,1,0.9349182,1,1,Buy
1542,AAPL,2023-01-31 17:35:00,2023-01-31 17:55:00,1,0.9490128,1,1,Buy
9338,AAPL,2023-02-01 05:51:00,2023-02-01 06:07:00,1,0.397688,0,1,Sell
3923,AAPL,2023-02-01 06:08:00,2023-02-01 06:15:00,0,0.09990022,0,0,Sell
4329,AAPL,2023-02-01 06:30:00,2023-02-01 06:35:00,0,0.07645679,0,0,Sell
7733,AAPL,2023-02-03 23:14:00,2023-02-03 23:35:00,1,0.44920358,0,1,Hold
4027,AAPL,2023-02-04 14:29:00,2023-02-04 14:38:00,0,0.05939847,0,0,Sell
9121,AAPL,2023-02-04 20:36:00,2023-02-04 20:47:00,1,0.9203237,1,1,Buy
9207,AAPL,2023-02-04 21:05:00,2023-02-04 21:15:00,0,0.048953727,0,0,Sell
9371,AAPL,2023-02-04 23:43:00,2023-02-05 00:11:00,1,0.44505385,0,1,Hold
4442,AAPL,2023-02-05 22:20:00,2023-02-05 22:40:00,0,0.4869477,0,0,Hold
932,AAPL,2023-02-06 18:43:00,2023-02-06 19:00:00,1,0.59626526,1,1,Hold
7893,AAPL,2023-02-06 22:22:00,2023-02-06 22:49:00,0,0.8819114,1,0,Buy
1695,AAPL,2023-02-08 11:35:00,2023-02-08 11:52:00,1,0.3694246,0,1,Sell
8086,AAPL,2023-02-10 03:57:00,2023-02-10 04:22:00,0,0.4081627,0,0,Hold
76,AAPL,2023-02-10 11:46:00,2023-02-10 12:03:00,0,0.54664487,1,0,Hold
4556,AAPL,2023-02-11 21:52:00,2023-02-11 22:02:00,0,0.04780411,0,0,Sell
8722,AAPL,2023-02-12 04:34:00,2023-02-12 05:03:00,1,0.93800116,1,1,Buy
3657,AAPL,2023-02-12 08:15:00,2023-02-12 08:42:00,0,0.9207314,1,0,Buy
4261,AAPL,2023-02-12 17:43:00,2023-02-12 18:05:00,1,0.9528877,1,1,Buy
2330,AAPL,2023-02-12 22:03:00,2023-02-12 22:30:00,1,0.6353177,1,1,Buy
5339,AAPL,2023-02-13 02:01:00,2023-02-13 02:13:00,0,0.11363906,0,0,Sell
7809,AAPL,2023-02-13 12:23:00,2023-02-13 12:34:00,0,0.06782251,0,0,Sell
6343,AAPL,2023-02-14 12:46:00,2023-02-14 13:15:00,1,0.92135555,1,1,Buy
3208,AAPL,2023-02-14 15:02:00,2023-02-14 15:24:00,0,0.4528869,0,0,Hold
2658,AAPL,2023-02-14 22:03:00,2023-02-14 22:28:00,1,0.33181638,0,1,Sell
4662,AAPL,2023-02-15 05:15:00,2023-02-15 05:31:00,0,0.07754136,0,0,Sell
316,AAPL,2023-02-15 07:35:00,2023-02-15 07:50:00,1,0.8919943,1,1,Buy
6865,AAPL,2023-02-15 18:41:00,2023-02-15 18:52:00,0,0.36956155,0,0,Sell
7756,AAPL,2023-02-15 21:12:00,2023-02-15 21:36:00,0,0.44181523,0,0,Hold
1113,AAPL,2023-02-16 00:44:00,2023-02-16 01:01:00,0,0.17864203,0,0,Sell
2867,AAPL,2023-02-16 09:00:00,2023-02-16 09:21:00,1,0.59068537,1,1,Hold
1101,AAPL,2023-02-16 10:00:00,2023-02-16 10:11:00,0,0.7122668,1,0,Buy
1017,AAPL,2023-02-16 21:45:00,2023-02-16 21:55:00,1,0.9236683,1,1,Buy
8385,AAPL,2023-02-17 11:01:00,2023-02-17 11:17:00,1,0.9375735,1,1,Buy
4398,AAPL,2023-02-17 15:04:00,2023-02-17 15:14:00,1,0.71739835,1,1,Buy
377,AAPL,2023-02-18 05:47:00,2023-02-18 06:13:00,1,0.5888206,1,1,Hold
4034,AAPL,2023-02-18 06:02:00,2023-02-18 06:30:00,1,0.930783,1,1,Buy
4108,AAPL,2023-02-18 12:29:00,2023-02-18 12:46:00,1,0.9471158,1,1,Buy
1392,AAPL,2023-02-18 16:06:00,2023-02-18 16:13:00,0,0.080130965,0,0,Sell
5731,AAPL,2023-02-18 20:01:00,2023-02-18 20:12:00,1,0.9350419,1,1,Buy
6197,AAPL,2023-02-19 17:09:00,2023-02-19 17:23:00,0,0.41062754,0,0,Hold
5975,AAPL,2023-02-20 18:36:00,2023-02-20 19:02:00,0,0.26962158,0,0,Sell
736,AAPL,2023-02-21 06:07:00,2023-02-21 06:23:00,1,0.6146886,1,1,Buy
2678,AAPL,2023-02-21 08:00:00,2023-02-21 08:10:00,1,0.41859898,0,1,Hold
9734,AAPL,2023-02-21 20:17:00,2023-02-21 20:37:00,1,0.9257119,1,1,Buy
4674,AAPL,2023-02-22 03:53:00,2023-02-22 04:08:00,0,0.55387723,1,0,Hold
5133,AAPL,2023-02-22 05:11:00,2023-02-22 05:35:00,0,0.3895083,0,0,Sell
6993,AAPL,2023-02-22 05:29:00,2023-02-22 05:59:00,0,0.080650836,0,0,Sell
7215,AAPL,2023-02-22 06:02:00,2023-02-22 06:27:00,1,0.9258251,1,1,Buy
8842,AAPL,2023-02-22 08:00:00,2023-02-22 08:23:00,1,0.93115604,1,1,Buy
867,AAPL,2023-02-22 11:54:00,2023-02-22 12:24:00,0,0.07578103,0,0,Sell
4782,AAPL,2023-02-22 17:35:00,2023-02-22 17:55:00,1,0.94786245,1,1,Buy
667,AAPL,2023-02-24 04:23:00,2023-02-24 04:29:00,0,0.2872277,0,0,Sell
7555,AAPL,2023-02-24 17:00:00,2023-02-24 17:05:00,1,0.9312771,1,1,Buy
816,AAPL,2023-02-24 17:19:00,2023-02-24 17:49:00,1,0.95203406,1,1,Buy
2036,AAPL,2023-02-24 22:17:00,2023-02-24 22:35:00,0,0.0858137,0,0,Sell
7082,AAPL,2023-02-25 15:45:00,2023-02-25 16:04:00,1,0.9534351,1,1,Buy
2974,AAPL,2023-02-26 06:01:00,2023-02-26 06:31:00,0,0.08523896,0,0,Sell
973,AAPL,2023-02-26 10:25:00,2023-02-26 10:33:00,0,0.34273204,0,0,Sell
